iter	Passed	Remaining
455	949	1132
456	951	1130
457	952	1127
458	954	1124
459	956	1122
460	961	1124
461	963	1121
462	964	1118
463	966	1116
464	967	1113
465	969	1110
466	970	1108
467	974	1107
468	976	1105
469	977	1102
470	979	1099
471	981	1097
472	982	1095
473	984	1092
474	985	1089
475	988	1087
476	989	1085
477	991	1082
478	992	1079
479	993	1076
480	995	1073
481	996	1071
482	998	1068
483	999	1065
484	1001	1063
485	1003	1061
486	1005	1058
487	1007	1056
488	1009	1054
489	1010	1052
490	1012	1049
491	1014	1047
492	1017	1046
493	1018	1043
494	1020	1040
495	1021	1038
496	1023	1035
497	1024	1032
498	1026	1030
499	1027	1027
500	1028	1024
501	1031	1023
502	1033	1021
503	1034	1018
504	1036	1015
505	1037	1013
506	1039	1010
507	1040	1007
508	1041	1005
509	1043	1002
510	1047	1002
511	1049	1000
512	1051	997
513	1052	995
514	1054	992
515	1055	990
516	1056	987
517	1058	984
518	1062	984
519	1064	982
520	1066	980
521	1068	978
522	1071	977
523	1073	974
524	1075	973
525	1077	970
526	1078	968
527	1080	965
528	1081	963
529	1083	960
530	1084	957
531	1085	955
532	1087	953
533	1089	950
534	1092	949
535	1093	946
536	1095	944
537	1096	941
538	1098	939
539	1099	936
540	1101	934
541	1102	932
542	1107	932
543	1109	930
544	1111	928
545	1113	925
546	1114	923
547	1116	920
548	1117	918
549	1120	916
550	1121	914
551	1123	911
552	1124	909
553	1126	906
554	1127	904
555	1128	901
556	1130	898
557	1132	896
558	1133	894
559	1136	893
560	1138	891
561	1141	889
562	1142	886
563	1144	884
564	1145	881
565	1146	879
566	1148	876
567	1152	876
568	1154	874
569	1156	872
570	1163	873
571	1173	877
572	1175	876
573	1177	873
574	1178	871
575	1220	898
576	1223	896
577	1226	895
578	1238	900
579	1240	898
580	1242	895
581	1251	898
582	1254	897
583	1256	895
584	1258	893
585	1274	900
586	1280	900
587	1282	898
588	1284	896
589	1287	894
590	1291	893
591	1293	891
592	1295	889
593	1297	887
594	1299	884
595	1302	882
596	1307	882
597	1309	880
598	1312	878
599	1314	876
600	1316	874
601	1333	881
602	1337	880
603	1340	879
604	1342	876
605	1345	874
606	1347	872
607	1350	870
608	1355	870
609	1358	868
610	1360	865
611	1362	863
612	1364	861
613	1368	860
614	1369	857
615	1371	855
616	1373	852
617	1375	849
618	1376	847
619	1408	863
620	1410	860
621	1412	858
622	1416	857
623	1418	854
624	1420	852
625	1421	849
626	1423	846
627	1424	844
628	1426	841
629	1427	838
630	1430	836
631	1432	834
632	1434	831
633	1436	829
634	1438	826
635	1439	823
636	1440	821
637	1442	818
638	1446	817
639	1449	815
640	1451	812
641	1452	810
642	1454	807
643	1457	805
644	1461	804
645	1465	803
646	1467	800
647	1469	798
648	1471	795
649	1473	793
650	1476	791
651	1480	790
652	1482	787
653	1483	785
654	1485	782
655	1488	780
656	1493	779
657	1495	777
658	1497	774
659	1498	771
660	1499	769
661	1502	766
662	1503	764
663	1512	765
664	1515	763
665	1517	761
666	1526	762
667	1527	759
668	1529	756
669	1531	754
670	1532	751
671	1534	748
672	1540	748
673	1542	746
674	1543	743
675	1545	740
676	1547	738
677	1548	735
678	1553	734
679	1556	732
680	1558	729
681	1559	727
682	1561	724
683	1563	722
684	1564	719
685	1569	718
686	1570	715
687	1572	712
688	1573	710
689	1574	707
690	1576	704
691	1578	702
692	1579	699
693	1584	698
694	1585	695
695	1587	693
696	1588	690
697	1590	687
698	1591	685
699	1592	682
700	1594	680
701	1598	678
702	1600	676
703	1601	673
704	1602	670
705	1604	668
706	1605	665
707	1607	662
708	1608	660
709	1611	658
710	1613	656
711	1615	653
712	1616	650
713	1618	648
714	1619	645
715	1621	642
716	1622	640
717	1624	637
718	1629	636
719	1630	634
720	1632	631
721	1633	628
722	1634	626
723	1636	623
724	1637	621
725	1639	618
726	1642	616
727	1644	614
728	1646	612
729	1648	609
730	1650	607
731	1652	604
732	1655	603
733	1658	600
734	1659	598
735	1661	595
736	1662	593
